app_version,eye,basis,axis_label_deg,axis_on_eye_deg,next_S_D,next_C_D,residual_S_cornea_D,residual_C_cornea_D,residual_axis_cornea_deg,residual_M_cornea_D,residual_S_overref_plane_D,residual_C_overref_plane_D,residual_axis_overref_plane_deg,overref_vertex_mm,next_rotation_CW_positive_deg,rotation_scenario_half_width_deg,scenario_min_abs_C_cornea_D,scenario_max_abs_C_cornea_D,warning
0.1.0,OD,current_on_eye_SCL_plus_overref,10.0,0.09305190167961541,-3.0,-1.25,0.007176436521154407,-0.004352873042309029,139.45071796372883,0.004999999999999893,0.007176436521154407,-0.004352873042309029,139.45071796372883,0,9.906948098320385,5.0,0.0006669715934347375,0.22223326053945638,教育・研究用の未臨床検証プロトタイプ。薄レンズ・同一角膜面でのベクトル和を仮定。次レンズの回転が入力どおり再現することを仮定し、視力・フィッティング・安全性は予測しない。結果は処方確定値ではない。自覚的追加矯正、装用状態および再装用後の評価が必要。
0.1.0,OD,current_on_eye_SCL_plus_overref,180.0,170.09305190167962,-3.0,-1.25,0.21999999999999986,-0.42999999999999994,40.0,0.004999999999999893,0.21999999999999986,-0.42999999999999994,40.0,0,9.906948098320385,5.0,0.21366309551093798,0.6430647011435018,教育・研究用の未臨床検証プロトタイプ。薄レンズ・同一角膜面でのベクトル和を仮定。次レンズの回転が入力どおり再現することを仮定し、視力・フィッティング・安全性は予測しない。結果は処方確定値ではない。自覚的追加矯正、装用状態および再装用後の評価が必要。
0.1.0,OD,current_on_eye_SCL_plus_overref,20.0,10.093051901679615,-3.0,-1.25,0.2242361169758493,-0.4384722339516988,140.0866757537226,0.004999999999999893,0.2242361169758493,-0.4384722339516988,140.0866757537226,0,9.906948098320385,5.0,0.22223326053945638,0.6513745005576169,教育・研究用の未臨床検証プロトタイプ。薄レンズ・同一角膜面でのベクトル和を仮定。次レンズの回転が入力どおり再現することを仮定し、視力・フィッティング・安全性は予測しない。結果は処方確定値ではない。自覚的追加矯正、装用状態および再装用後の評価が必要。
0.1.0,OD,current_on_eye_SCL_plus_overref,170.0,160.09305190167962,-3.0,-1.25,0.4306176905247947,-0.8512353810495896,35.02266772762881,0.004999999999999893,0.4306176905247947,-0.8512353810495896,35.02266772762881,0,9.906948098320385,5.0,0.6430647011435018,1.0529276822383526,教育・研究用の未臨床検証プロトタイプ。薄レンズ・同一角膜面でのベクトル和を仮定。次レンズの回転が入力どおり再現することを仮定し、視力・フィッティング・安全性は予測しない。結果は処方確定値ではない。自覚的追加矯正、装用状態および再装用後の評価が必要。
0.1.0,OD,current_on_eye_SCL_plus_overref,30.0,20.093051901679615,-3.0,-1.25,0.4346597498367832,-0.8593194996735666,145.06465514393557,0.004999999999999893,0.4346597498367832,-0.8593194996735666,145.06465514393557,0,9.906948098320385,5.0,0.6513745005576169,1.0607245939804633,教育・研究用の未臨床検証プロトタイプ。薄レンズ・同一角膜面でのベクトル和を仮定。次レンズの回転が入力どおり再現することを仮定し、視力・フィッティング・安全性は予測しない。結果は処方確定値ではない。自覚的追加矯正、装用状態および再装用後の評価が必要。
0.1.0,OD,current_on_eye_SCL_plus_overref,160.0,150.09305190167962,-3.0,-1.25,0.6283032934151714,-1.246606586830343,30.030486651487625,0.004999999999999893,0.6283032934151714,-1.246606586830343,30.030486651487625,0,9.906948098320385,5.0,1.0529276822383526,1.4307980737836452,教育・研究用の未臨床検証プロトタイプ。薄レンズ・同一角膜面でのベクトル和を仮定。次レンズの回転が入力どおり再現することを仮定し、視力・フィッティング・安全性は予測しない。結果は処方確定値ではない。自覚的追加矯正、装用状態および再装用後の評価が必要。
0.1.0,OD,current_on_eye_SCL_plus_overref,40.0,30.093051901679615,-3.0,-1.25,0.6320284760299203,-1.2540569520598408,150.05695579254973,0.004999999999999893,0.6320284760299203,-1.2540569520598408,150.05695579254973,0,9.906948098320385,5.0,1.0607245939804633,1.43784519051978,教育・研究用の未臨床検証プロトタイプ。薄レンズ・同一角膜面でのベクトル和を仮定。次レンズの回転が入力どおり再現することを仮定し、視力・フィッティング・安全性は予測しない。結果は処方確定値ではない。自覚的追加矯正、装用状態および再装用後の評価が必要。
0.1.0,OD,current_on_eye_SCL_plus_overref,150.0,140.09305190167962,-3.0,-1.25,0.8070501654066697,-1.6041003308133397,25.03463585864327,0.004999999999999893,0.8070501654066697,-1.6041003308133397,25.03463585864327,0,9.906948098320385,5.0,1.4307980737836452,1.765194420939175,教育・研究用の未臨床検証プロトタイプ。薄レンズ・同一角膜面でのベクトル和を仮定。次レンズの回転が入力どおり再現することを仮定し、視力・フィッティング・安全性は予測しない。結果は処方確定値ではない。自覚的追加矯正、装用状態および再装用後の評価が必要。
0.1.0,OD,current_on_eye_SCL_plus_overref,50.0,40.093051901679615,-3.0,-1.25,0.8103452830666246,-1.6106905661332493,155.05284811174326,0.004999999999999893,0.8103452830666246,-1.6106905661332493,155.05284811174326,0,9.906948098320385,5.0,1.43784519051978,1.7712776191084778,教育・研究用の未臨床検証プロトタイプ。薄レンズ・同一角膜面でのベクトル和を仮定。次レンズの回転が入力どおり再現することを仮定し、視力・フィッティング・安全性は予測しない。結果は処方確定値ではない。自覚的追加矯正、装用状態および再装用後の評価が必要。
0.1.0,OD,current_on_eye_SCL_plus_overref,140.0,130.09305190167962,-3.0,-1.25,0.9614271597773062,-1.9128543195546126,20.03733989569778,0.004999999999999893,0.9614271597773062,-1.9128543195546126,20.03733989569778,0,9.906948098320385,5.0,1.765194420939175,2.045956244832358,教育・研究用の未臨床検証プロトタイプ。薄レンズ・同一角膜面でのベクトル和を仮定。次レンズの回転が入力どおり再現することを仮定し、視力・フィッティング・安全性は予測しない。結果は処方確定値ではない。自覚的追加矯正、装用状態および再装用後の評価が必要。
